id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1228145560630284290,1227990635518550016,1581647694000,2020-02-13,23:34:54,Hora oficial do Brasil,917108082882301955,raquels76705080,Raquel soldada de Bolsonaro 😍🤩,,#folhaprostituta,"['crysthianea', '_nikoduarte', 'julyb_lucille', 'anacgonca', 'sanbaungartner', 'sissituita', 'silvahsilvaeco', 'deborabpaim', 'lunia67', 'xisdavidasp', 'reynaldofm', '_mila_38', 'hatshepsut_alfa', 'mnunesvsc', 'gwgminas', 'fariasbolsogata']",[],[],0,0,0,['#folhaprostituta'],[],https://twitter.com/RaquelS76705080/status/1228145560630284290,False,,0,,,,,,,"[{'user_id': '917108082882301955', 'username': 'RaquelS76705080'}, {'user_id': '1054777764551757825', 'username': 'CrysthianeA'}, {'user_id': '185781772', 'username': '_nikoduarte'}, {'user_id': '1120347373430091778', 'username': 'JulyB_Lucille'}, {'user_id': '718983662805585920', 'username': 'AnaCGonca'}, {'user_id': '272585729', 'username': 'sanbaungartner'}, {'user_id': '747931681034735616', 'username': 'sissituita'}, {'user_id': '867389122939420673', 'username': 'silvahsilvaeco'}, {'user_id': '1132921149657092096', 'username': 'deborabpaim'}, {'user_id': '1088222447805984768', 'username': 'lunia67'}, {'user_id': '1153794949336444928', 'username': 'xisdavidasp'}, {'user_id': '50386384', 'username': 'reynaldofm'}, {'user_id': '1054696205610074113', 'username': '_Mila_38'}, {'user_id': '1543591662', 'username': 'Hatshepsut_alfa'}, {'user_id': '92780914', 'username': 'mnunesvsc'}, {'user_id': '1889808770', 'username': 'GwgMinas'}, {'user_id': '1068267370379177984', 'username': 'fariasbolsogata'}]",,,,
1228145421811376128,1228145421811376128,1581647661000,2020-02-13,23:34:21,Hora oficial do Brasil,917108082882301955,raquels76705080,Raquel soldada de Bolsonaro 😍🤩,,Lixo e escória #Folhaprostituta  https://twitter.com/_nikoduarte/status/1227990635518550016 …,[],['https://twitter.com/_nikoduarte/status/1227990635518550016'],[],0,0,0,['#folhaprostituta'],[],https://twitter.com/RaquelS76705080/status/1228145421811376128,False,https://twitter.com/_nikoduarte/status/1227990635518550016,0,,,,,,,"[{'user_id': '917108082882301955', 'username': 'RaquelS76705080'}]",,,,
1228012135575412736,1227643023208730624,1581615883000,2020-02-13,14:44:43,Hora oficial do Brasil,1071215642399948800,fmarcelo01,Marcelo,,"@AndreiaSadi ei Sadi, como mulher vc ñ ficou nem um pouquinho incomodada com os comentários do Zé de Abreu para a Regina Duarte ou por ela ñ ser jornalista tá tranquilo? #FolhaPROSTITUTA",['andreiasadi'],[],[],0,0,0,['#folhaprostituta'],[],https://twitter.com/FMarcelo01/status/1228012135575412736,False,,0,,,,,,,"[{'user_id': '1071215642399948800', 'username': 'FMarcelo01'}, {'user_id': '40545889', 'username': 'AndreiaSadi'}]",,,,
1227716389202538499,1227716389202538499,1581545371000,2020-02-12,19:09:31,Hora oficial do Brasil,1087844967580602369,carlosandrsche1,Carlos André Scheidegger,,#FOLHAPROSTITUTA,[],[],[],0,0,0,['#folhaprostituta'],[],https://twitter.com/CarlosAndrSche1/status/1227716389202538499,False,,0,,,,,,,"[{'user_id': '1087844967580602369', 'username': 'CarlosAndrSche1'}]",,,,
1227716389043146752,1225534657237848068,1581545371000,2020-02-12,19:09:31,Hora oficial do Brasil,1087844967580602369,carlosandrsche1,Carlos André Scheidegger,,#FOLHAPROSTITUTA,['folha'],[],[],0,0,0,['#folhaprostituta'],[],https://twitter.com/CarlosAndrSche1/status/1227716389043146752,False,,0,,,,,,,"[{'user_id': '1087844967580602369', 'username': 'CarlosAndrSche1'}, {'user_id': '14594813', 'username': 'folha'}]",,,,
1227675718844342272,1227632322125668353,1581535675000,2020-02-12,16:27:55,Hora oficial do Brasil,1071215642399948800,fmarcelo01,Marcelo,,"@folha mas, só prender por prender sem antes investigar? Já pode fazer isso no Brasil? #FolhaPROSTITUTA","['folha', 'folha_poder']",[],[],0,0,0,['#folhaprostituta'],[],https://twitter.com/FMarcelo01/status/1227675718844342272,False,,0,,,,,,,"[{'user_id': '1071215642399948800', 'username': 'FMarcelo01'}, {'user_id': '14594813', 'username': 'folha'}, {'user_id': '90963197', 'username': 'folha_poder'}]",,,,
1227607128912822272,1227357826869334016,1581519322000,2020-02-12,11:55:22,Hora oficial do Brasil,3299271315,os_cesares,"Incrédulo, Cético! 3⃣8⃣/2⃣2⃣🇧🇷🇧🇷🇧🇷!",,#folhaprostituta! Tudo normal!,"['veramagalhaes', 'camposmello', 'folha']",[],[],0,0,0,['#folhaprostituta'],[],https://twitter.com/os_cesares/status/1227607128912822272,False,,0,,,,,,,"[{'user_id': '3299271315', 'username': 'os_cesares'}, {'user_id': '19667016', 'username': 'veramagalhaes'}, {'user_id': '36714704', 'username': 'camposmello'}, {'user_id': '14594813', 'username': 'folha'}]",,,,
1227430968929243141,1227387805585805326,1581477322000,2020-02-12,00:15:22,Hora oficial do Brasil,69452672,andriucremonte,andriu,,Ela esta cert pq ela é branca e esquerdista rica e ele negro pobre e favelado e homem logo deve ta mentindo.#folhaProstituta,"['brenooabc', 'veramagalhaes']",[],[],0,0,3,['#folhaprostituta'],[],https://twitter.com/AndriuCremonte/status/1227430968929243141,False,,0,,,,,,,"[{'user_id': '69452672', 'username': 'AndriuCremonte'}, {'user_id': '221143180', 'username': 'brenooABC'}, {'user_id': '19667016', 'username': 'veramagalhaes'}]",,,,
1227429462628851712,1227365469935501312,1581476963000,2020-02-12,00:09:23,Hora oficial do Brasil,69452672,andriucremonte,andriu,,Publicaram em.outubro mas só teve contato com hans apartir de novembro.Nem lugar mostra algo relacionado a bolsonaro.Essa Patricia mente só pq o cara é preto da favela e ela rica e branca ela diz a verdade? #FOLHAProstituta #FolhaDaOFuro,"['nayarafelizardo', 'camposmello']",[],[],0,0,0,"['#folhaprostituta', '#folhadaofuro']",[],https://twitter.com/AndriuCremonte/status/1227429462628851712,False,,0,,,,,,,"[{'user_id': '69452672', 'username': 'AndriuCremonte'}, {'user_id': '134122186', 'username': 'NayaraFelizardo'}, {'user_id': '36714704', 'username': 'camposmello'}]",,,,
1227417921380589574,1227386964673953793,1581474211000,2020-02-11,23:23:31,Hora oficial do Brasil,69452672,andriucremonte,andriu,,Vão.continuar mentindo eh #folhaProstituta,['folha'],[],[],0,0,0,['#folhaprostituta'],[],https://twitter.com/AndriuCremonte/status/1227417921380589574,False,,0,,,,,,,"[{'user_id': '69452672', 'username': 'AndriuCremonte'}, {'user_id': '14594813', 'username': 'folha'}]",,,,
